microrregiao,codigo,municipio
Itaperuna,001,Bom Jesus do Itabapoana
Itaperuna,001,Italva
Itaperuna,001,Itaperuna
Itaperuna,001,Laje do Muriaé
Itaperuna,001,Natividade
Itaperuna,001,Porciúncula
Itaperuna,001,Varre-Sai
Santo Antônio de Pádua,002,Aperibé
Santo Antônio de Pádua,002,Cambuci
Santo Antônio de Pádua,002,Itaocara
Santo Antônio de Pádua,002,Miracema
Santo Antônio de Pádua,002,Santo Antônio de Pádua
Santo Antônio de Pádua,002,São José de Ubá
