microrregiao,codigo,municipio
Bacia de São João,009,Casimiro de Abreu
Bacia de São João,009,Rio das Ostras
Bacia de São João,009,Silva Jardim
Lagos,010,Araruama
Lagos,010,Armação dos Búzios
Lagos,010,Arraial do Cabo
Lagos,010,Cabo Frio
Lagos,010,Iguaba Grande
Lagos,010,São Pedro da Aldeia
Lagos,010,Saquarema
