microrregiao,codigo,municipio
Campos dos Goytacazes,003,Campos dos Goytacazes
Campos dos Goytacazes,003,Cardoso Moreira
Campos dos Goytacazes,003,São Fidélis
Campos dos Goytacazes,003,São Francisco de Itabapoana
Campos dos Goytacazes,003,São João da Barra
Macaé,004,Carapebus
Macaé,004,Conceição de Macabu
Macaé,004,Macaé
Macaé,004,Quissamã
